FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE,TARGETED
185.151.30.140:443 => 192.168.178.41:53068,185.151.30.140,443,192.168.178.41,53068,6,1679951393.766154,albanianvoice,0.091827,7,7,5126,0,55822.36161477561,76.23030263430145,732.2857142857143,False
192.168.178.41:49308 => 5.9.72.90:443,192.168.178.41,49308,5.9.72.90,443,6,1679953702.423566,rtv21,2.814843,71,71,9149,0,3250.2700861113744,25.223431644322616,128.85915492957747,True
192.168.178.41:49309 => 5.9.72.90:443,192.168.178.41,49309,5.9.72.90,443,6,1679953702.423728,rtv21,2.81457,117,117,7362,0,2615.674863300611,41.56940491798037,62.92307692307692,True
5.9.72.90:443 => 192.168.178.41:49309,5.9.72.90,443,192.168.178.41,49309,6,1679953702.481003,rtv21,2.75702,594,594,356857,0,129435.7676041523,215.45001487112896,600.7693602693603,True
5.9.72.90:443 => 192.168.178.41:49308,5.9.72.90,443,192.168.178.41,49308,6,1679953702.481013,rtv21,2.757011,146,146,205851,0,74664.55520126688,52.95590042984957,1409.9383561643835,True
192.168.178.41:49311 => 5.9.72.90:443,192.168.178.41,49311,5.9.72.90,443,6,1679953703.182051,rtv21,2.056482,79,79,8321,0,4046.230407073828,38.41511863463915,105.32911392405065,True
192.168.178.41:49312 => 5.9.72.90:443,192.168.178.41,49312,5.9.72.90,443,6,1679953703.182824,rtv21,2.055419,87,87,7032,0,3421.200251627527,42.32713621894125,80.82758620689656,True
192.168.178.41:49313 => 5.9.72.90:443,192.168.178.41,49313,5.9.72.90,443,6,1679953703.183003,rtv21,2.055351,78,78,9556,0,4649.327535783425,37.94972245616442,122.51282051282053,True
192.168.178.41:49314 => 5.9.72.90:443,192.168.178.41,49314,5.9.72.90,443,6,1679953703.183158,rtv21,2.055297,54,54,3977,0,1935.0001483970443,26.27357505995484,73.64814814814815,True
5.9.72.90:443 => 192.168.178.41:49312,5.9.72.90,443,192.168.178.41,49312,6,1679953703.236305,rtv21,2.001718,184,184,262168,0,130971.49548537808,91.9210398267888,1424.8260869565215,True
5.9.72.90:443 => 192.168.178.41:49313,5.9.72.90,443,192.168.178.41,49313,6,1679953703.236305,rtv21,2.00172,133,133,184328,0,92084.8070659233,66.44285914113863,1385.9248120300751,True
5.9.72.90:443 => 192.168.178.41:49311,5.9.72.90,443,192.168.178.41,49311,6,1679953703.236305,rtv21,2.001721,191,191,269880,0,134823.98396180087,95.41789290315684,1412.9842931937171,True
5.9.72.90:443 => 192.168.178.41:49314,5.9.72.90,443,192.168.178.41,49314,6,1679953703.236305,rtv21,2.001719,118,118,166614,0,83235.45912288388,58.94933304824503,1411.9830508474577,True
192.168.178.41:60231 => 31.11.36.22:443,192.168.178.41,60231,31.11.36.22,443,6,1679949273.759055,shkodrasport,1.653059,9,9,1077,0,651.5193952544948,5.444451770928926,119.66666666666669,False
192.168.178.41:60232 => 31.11.36.22:443,192.168.178.41,60232,31.11.36.22,443,6,1679949273.760027,shkodrasport,1.652134,15,15,2002,0,1211.7661158235348,9.079166701974536,133.46666666666667,False
31.11.36.22:443 => 192.168.178.41:60232,31.11.36.22,443,192.168.178.41,60232,6,1679949273.823366,shkodrasport,1.588599,15,15,6172,0,3885.184366854064,9.442282161829384,411.46666666666664,False
31.11.36.22:443 => 192.168.178.41:60231,31.11.36.22,443,192.168.178.41,60231,6,1679949273.823372,shkodrasport,1.588601,10,10,5568,0,3504.9707258147264,6.294846849523575,556.8,False
192.168.178.41:49170 => 172.67.75.185:443,192.168.178.41,49170,172.67.75.185,443,6,1679953683.387875,supersport,0.175,9,9,1037,0,5925.714285714285,51.42857142857142,115.22222222222224,False
192.168.178.41:49171 => 172.67.75.185:443,192.168.178.41,49171,172.67.75.185,443,6,1679953683.388096,supersport,2.521222,432,432,30208,0,11981.49151482892,171.34548246842203,69.92592592592592,False
172.67.75.185:443 => 192.168.178.41:49170,172.67.75.185,443,192.168.178.41,49170,6,1679953683.43844,supersport,0.124326,7,7,4534,0,36468.63890095394,56.30358895162718,647.7142857142857,False
172.67.75.185:443 => 192.168.178.41:49171,172.67.75.185,443,192.168.178.41,49171,6,1679953683.438455,supersport,2.470683,1535,1535,2243289,0,907963.1017010276,621.2856930654398,1461.426058631922,False
192.168.178.41:49172 => 172.67.75.185:443,192.168.178.41,49172,172.67.75.185,443,6,1679953683.607877,supersport,2.307619,8,8,1046,0,453.2810658951933,3.4667767946095087,130.75,False
172.67.75.185:443 => 192.168.178.41:49172,172.67.75.185,443,192.168.178.41,49172,6,1679953683.674198,supersport,2.241191,5,5,992,0,442.62180242558526,2.2309566654515387,198.4,False
192.168.178.41:64128 => 65.254.227.240:443,192.168.178.41,64128,65.254.227.240,443,6,1679953473.026989,tribuna-news,4.618856,121,121,14056,0,3043.1777912106377,26.196963057519003,116.16528925619836,False
192.168.178.41:64129 => 65.254.227.240:443,192.168.178.41,64129,65.254.227.240,443,6,1679953473.027321,tribuna-news,4.618575,123,123,13491,0,2921.030837433624,26.63159091278154,109.6829268292683,False
65.254.227.240:443 => 192.168.178.41:64128,65.254.227.240,443,192.168.178.41,64128,6,1679953473.156434,tribuna-news,4.48931,357,357,513256,0,114328.4825507706,79.5222428391,1437.6918767507002,False
65.254.227.240:443 => 192.168.178.41:64129,65.254.227.240,443,192.168.178.41,64129,6,1679953473.15644,tribuna-news,4.489317,409,409,593131,0,132120.54305810883,91.10517256856669,1450.19804400978,False
192.168.178.41:64131 => 65.254.227.240:443,192.168.178.41,64131,65.254.227.240,443,6,1679953475.056538,tribuna-news,2.589683,123,123,13483,0,5206.428740506078,47.496160727007904,109.6178861788618,False
192.168.178.41:64132 => 65.254.227.240:443,192.168.178.41,64132,65.254.227.240,443,6,1679953475.057233,tribuna-news,2.593945,82,82,9029,0,3480.7985520124753,31.61208121220766,110.10975609756098,False
192.168.178.41:64133 => 65.254.227.240:443,192.168.178.41,64133,65.254.227.240,443,6,1679953475.057766,tribuna-news,2.588156,142,142,13324,0,5148.066808955874,54.86531723744627,93.83098591549296,False
192.168.178.41:64134 => 65.254.227.240:443,192.168.178.41,64134,65.254.227.240,443,6,1679953475.058257,tribuna-news,2.58799,76,76,10197,0,3940.123416241948,29.36641949930255,134.17105263157896,False
65.254.227.240:443 => 192.168.178.41:64131,65.254.227.240,443,192.168.178.41,64131,6,1679953475.190255,tribuna-news,2.455919,421,421,613069,0,249629.16122233673,171.4225917059968,1456.2209026128266,False
65.254.227.240:443 => 192.168.178.41:64134,65.254.227.240,443,192.168.178.41,64134,6,1679953475.192715,tribuna-news,2.453459,221,221,312172,0,127237.50427457724,90.07690774535054,1412.5429864253394,False
65.254.227.240:443 => 192.168.178.41:64133,65.254.227.240,443,192.168.178.41,64133,6,1679953475.192841,tribuna-news,2.452917,366,366,529605,0,215908.24312441063,149.21010372548275,1447.0081967213114,False
65.254.227.240:443 => 192.168.178.41:64132,65.254.227.240,443,192.168.178.41,64132,6,1679953475.193949,tribuna-news,2.457141,261,261,374787,0,152529.70830733769,106.22101051588004,1435.9655172413793,False
192.168.178.41:61744 => 172.67.156.42:443,192.168.178.41,61744,172.67.156.42,443,6,1679953178.885882,politiko,0.15825,7,7,957,0,6047.393364928909,44.23380726698262,136.71428571428572,False
192.168.178.41:61745 => 172.67.156.42:443,192.168.178.41,61745,172.67.156.42,443,6,1679953178.885983,politiko,3.897132,33,33,3406,0,873.9760418687384,8.46776552603299,103.21212121212122,False
172.67.156.42:443 => 192.168.178.41:61745,172.67.156.42,443,192.168.178.41,61745,6,1679953178.943223,politiko,3.839635,57,57,67614,0,17609.48631836099,14.845161063486504,1186.2105263157894,False
172.67.156.42:443 => 192.168.178.41:61744,172.67.156.42,443,192.168.178.41,61744,6,1679953178.94324,politiko,0.100717,5,5,2392,0,23749.71454670016,49.64405214611238,478.4,False
192.168.178.41:61749 => 172.67.156.42:443,192.168.178.41,61749,172.67.156.42,443,6,1679953179.122671,politiko,3.660675,8,8,1040,0,284.10060986020335,2.185389306616949,130.0,False
172.67.156.42:443 => 192.168.178.41:61749,172.67.156.42,443,192.168.178.41,61749,6,1679953179.173378,politiko,3.609482,5,5,992,0,274.83167944874083,1.3852403198021213,198.4,False
192.168.178.41:51283 => 172.67.75.185:443,192.168.178.41,51283,172.67.75.185,443,6,1679950935.819841,supersport,0.156522,8,8,1009,0,6446.378144925314,51.1110259260679,126.125,False
192.168.178.41:51284 => 172.67.75.185:443,192.168.178.41,51284,172.67.75.185,443,6,1679950935.819952,supersport,2.580183,394,394,28541,0,11061.618497602689,152.70234708158296,72.43908629441624,False
172.67.75.185:443 => 192.168.178.41:51284,172.67.75.185,443,192.168.178.41,51284,6,1679950935.865106,supersport,2.53484,1377,1377,2010809,0,793268.6086695808,543.2295529500876,1460.282498184459,False
